date,covid_in_pop,covid_in_pop_lo,covid_in_pop_up
2021-06-25,19020.0,16484.893850696295,21935.315907411266
2021-06-26,19779.0,17218.103823561036,22709.991851113038
2021-06-27,21435.0,18796.743009682654,24433.241223530105
2021-06-28,22182.0,19563.9356508135,25140.520472677366
2021-06-29,23345.0,20706.294159761805,26310.469890322034
2021-06-30,23743.0,21161.475863071384,26630.19866924207
2021-07-01,24640.0,22069.521544337993,27497.94371643382
2021-07-02,24986.0,22490.462693451303,27747.62142564334
2021-07-03,25508.0,23051.358599872477,28214.896143881753
2021-07-04,25420.0,23033.404264712008,28042.01037171004
2021-07-05,25274.0,22957.565680798736,27813.87107773858
2021-07-06,25519.0,23234.704698380832,28017.333772356997
2021-07-07,25537.0,23303.774149015888,27973.85989912561
2021-07-08,25883.0,23693.907595047534,28263.088485804903
2021-07-09,25519.0,23421.224165892123,27793.427148583196
2021-07-10,26391.0,24275.155548322724,28680.156685363017
2021-07-11,26548.0,24463.69913417688,28799.16464913806
2021-07-12,25970.0,23963.764328806865,28134.03518934294
2021-07-13,26599.0,24582.71571040582,28768.86746240392
2021-07-14,27665.0,25611.58668905747,29871.82690698508
2021-07-15,28659.0,26578.029591080838,30890.727074925653
2021-07-16,30242.0,28099.83911293925,32535.306378087527
2021-07-17,5468.772550869212,4661.637039146787,6383.33249099934
2021-07-18,5617.791917432937,4767.531129006912,6521.271145312106
2021-07-19,5689.576411301015,4859.382052239876,6603.921521429251
2021-07-20,5731.750122937165,4907.8387219170345,6636.557409427811
2021-07-21,5939.245739050208,5099.199548754963,6855.445758163436
2021-07-22,5834.2656758818775,5001.812187398114,6744.7161192493595
2021-07-23,5708.262067710216,4896.893917099085,6590.575910601952
2021-07-24,5821.2456918459375,5000.413822490941,6711.153532282269
2021-07-25,5867.948819668649,5041.930117230341,6766.351678918579
2021-07-26,5883.405103235385,5052.395151736732,6787.82185561635
2021-07-27,5556.231788488188,4746.826176341346,6437.357875119427
2021-07-28,5184.342269436122,4404.186856109141,6041.340223007243
2021-07-29,5007.432296203315,4232.761654124371,5866.865403152302
2021-07-30,4753.350030123744,3987.6556163029795,5601.592767780182
2021-07-31,4648.808501807078,3884.8379337925294,5499.193327461018
2021-08-01,4567.541000852176,3810.530138107843,5413.569293835097
2021-08-02,4803.63766494413,4011.720531157787,5688.188020012346
2021-08-03,4443.897092054343,3685.428056968762,5265.224459369374
2021-08-04,4700.191715964201,3931.517198159865,5557.616412143403
2021-08-05,4837.002904342604,4053.168242085424,5708.589228196803
2021-08-06,5109.791785174577,4290.029242348832,6020.052888135264
2021-08-07,5321.313230536919,4483.7273369311515,6247.556113207039
2021-08-08,5306.615773317694,4476.899151189788,6224.108983289859
2021-08-09,5265.792941649051,4448.610736776256,6171.888573403886
2021-08-10,5257.6530225513625,4445.9377081364455,6157.197393010476
2021-08-11,4824.448002069078,4066.260389027328,5665.8706445646985
2021-08-12,4727.037685993669,3984.7461016159773,5551.86081183104
2021-08-13,4878.664735291715,4126.609565056532,5707.781667249615
2021-08-14,4786.421940136882,4050.3133687235418,5598.015113671967
2021-08-15,4770.1057400448135,4036.4111967444924,5579.949860535848
2021-08-16,4720.634562719947,3988.877287860707,5527.183860208454
2021-08-17,4932.998543483624,4162.342526095128,5783.489103889557
2021-08-18,5211.4400089701785,4421.289792383389,6075.294326288455
2021-08-19,5080.168870897469,4306.624482096182,5928.775227456407
2021-08-20,5193.956223189906,4410.959310926296,6048.7303506065555
2021-08-21,5053.580918136511,4294.380873472441,5882.431879519856
2021-08-22,4781.546365158835,4050.473354887431,5584.19940279051
2021-08-23,4979.688528731467,4231.445693969765,5794.344744182913
2021-08-24,4996.431903846074,4247.763857657397,5811.040064102527
2021-08-25,5154.873269435035,4396.842095728245,5978.284581300872
2021-08-26,5175.113057292668,4427.783578195881,5987.6700105534765
2021-08-27,5080.446472893228,4336.896979856957,5887.05504880737
2021-08-28,5492.664397281677,4717.842083303245,6333.356967631845
2021-08-29,5549.0733152502635,4763.588259104034,6401.177843634998
2021-08-30,5345.063617227946,4585.290095604407,6168.937377339681
2021-08-31,5323.962817357849,4576.786474570197,6133.580741435953
2021-09-01,5394.262041381944,4633.909729156197,6216.1497767785595
2021-09-02,5130.348160304103,4395.970717165964,5926.993222217035
2021-09-03,5162.256274843831,4426.947804175523,5963.59831772139
2021-09-04,5208.301496613714,4469.5908250168895,6014.578958237212
2021-09-05,5066.265555916675,4348.939420216974,5850.009810580252
2021-09-06,4996.51119424512,4288.934303023345,5770.052087728135
2021-09-07,4790.766605237934,4107.586897916815,5539.420247945442
2021-09-08,4593.0483359708915,3921.353807349185,5334.157300225685
2021-09-09,4686.8952507655185,4006.423176395562,5437.495193653685
2021-09-10,4886.4332746336995,4185.833845332126,5657.065929047399
2021-09-11,4836.754038471301,4135.692524333615,5608.978254173492
2021-09-12,4889.466590148332,4187.086745690187,5664.235044934224
2021-09-13,4769.452243013567,4078.4550403013695,5528.375946113935
2021-09-14,4909.265343043823,4201.175402413222,5688.081510859978
2021-09-15,4822.398092456571,4121.205793652236,5592.6835533243675
2021-09-16,4849.9941811063045,4141.128177873127,5628.1771837319675
