date,age_group,respondent_count,unhealthy_count,unhealthy_unk_count,predicted_covid_positive_count,predicted_covid_positive_prob,population,corrected_covid_positive,corrected_covid_positive_prob,factor,factor_prob,+ symptom_based,+ response_rate
20220108,55 - 74,391828,43710,43709,7072,86272.14417603497,14608166,351952.3045156094,3625777.867394996,1.0428766977653212,0.08589474332401949,297182.55505180854,0.02682253200025246
20220108,75 - 119,82832,5312,5312,890,11021.116556102448,4931625,70150.5421252498,718539.428828972,1.0428766977653212,0.08589474332401949,58152.595713378985,0.01679608648265024
20220109,0 - 17,30798,3523,3523,657,8225.815296260907,14044453,454032.1540011251,4400290.200146158,1.0921628592176045,0.08923108029664986,351095.5543555544,0.0021928942337590507
20220109,18 - 34,44449,10713,10710,2331,28590.80730737372,14704349,1092382.2161278287,10638205.342226116,1.0921628592176045,0.08923108029664986,864372.8880647654,0.003022847186230414
20220109,35 - 54,177355,37118,37116,5580,68000.23599058345,17542141,780968.1072142099,7487311.44882296,1.0921628592176045,0.08923108029664986,617968.1503416625,0.010110225428013604
20220109,55 - 74,391270,43046,43045,6673,81512.6714180107,14608166,350536.58997606655,3430517.9306027484,1.0921628592176045,0.08923108029664986,281140.6033029891,0.026784334186782926
20220109,75 - 119,82856,5239,5239,845,10530.08848753611,4931625,69920.68094230622,692451.3178560176,1.0921628592176045,0.08923108029664986,55346.100651310124,0.01680095303272248
20220110,0 - 17,30612,3518,3518,698,7419.805434700743,14044453,487468.709729474,3928559.9954077196,1.106679326045681,0.10730827980160129,368844.87299957965,0.0021796505709407122
20220110,18 - 34,43878,10320,10318,2233,23126.61876417895,14704349,1088806.0603208176,8675699.984293628,1.106679326045681,0.10730827980160129,841387.088760216,0.002984015137290335
20220110,35 - 54,175895,36144,36142,5302,54696.59436536688,17542141,769277.98036528,6056564.299668691,1.106679326045681,0.10730827980160129,592694.4540577771,0.010026997274734025
20220110,55 - 74,389654,41738,41737,6162,64147.08480048479,14608166,336898.4537050466,2724236.2954013366,1.106679326045681,0.10730827980160129,262465.03744621185,0.02667371112841954
20220110,75 - 119,82638,5122,5122,783,8356.569202684579,4931625,68857.64269107067,570977.093862678,1.106679326045681,0.10730827980160129,53451.08811153182,0.016756748536232987
