,date,region,pop_mid,pop_low,pop_up,100k_mid,100k_low,100k_up
4522,2020-08-03,UK,1467.0,1089.323358019807,1974.2560138659712,,,
903,2020-08-03,London,213.0,103.19945756144163,438.732699332504,2.3904554896320795,1.1584925817518008,4.925109003078261
3535,2020-08-03,Wales,73.0,0.0,306.46908766170975,2.3286129942901623,0.0,9.764419189822243
1561,2020-08-03,South West,45.0,12.379427562603356,164.18342053013782,0.8059905166935645,0.22107166790220173,2.9319855409253797
245,2020-08-03,England,1280.0,950.4661883199408,1722.5955676540173,2.286169067037766,1.697953027071034,3.07731763050652
2218,2020-08-04,Scotland,115.0,0.0,456.4862528031467,2.1102250202863653,0.0,8.3942232177258
4192,2020-08-04,Northern Ireland,0.0,0.0,604.9414287486485,0.0,0.0,32.149707183399606
244,2020-08-04,England,1319.0,982.7382092694057,1769.0620724898902,2.3558036989216076,1.7556051312008008,3.1603273614291347
3863,2020-08-04,North East,0.0,1.5923318669665826e-14,179.0639156304721,0.0,5.990919429395749e-16,6.737022058711269
573,2020-08-04,South East,222.0,123.83735288100821,396.2542211191711,2.4267604532162426,1.3558401278901664,4.338411322111113
4521,2020-08-04,UK,1487.0,1107.9088075690722,1994.3861272118777,,,
1560,2020-08-04,South West,69.0,23.430517043151706,202.00904440490996,1.229966563722654,0.4184218903778787,3.6074750752474882
3205,2020-08-04,West Midlands,193.0,75.2118854632505,494.3784783125678,3.275072259724571,1.2746141802356967,8.37822127419529
1231,2020-08-04,East of England,100.0,38.92790659274057,256.6667652405832,1.6136248895849759,0.6277465443498735,4.1389760979153944
1889,2020-08-04,North West,231.0,106.00961083430599,502.73363100861013,3.1698648774672242,1.4537610921076567,6.894229558079006
2876,2020-08-04,East Midlands,180.0,76.74530692415219,418.2100109656872,3.7365917386968426,1.5974797393701192,8.70518401834929
2547,2020-08-04,Yorkshire and The Humber,207.0,88.62727735681166,483.0626957658933,3.7833119153290222,1.6173997143378076,8.815632042869677
902,2020-08-04,London,186.0,85.13551316795481,404.3647701979114,2.0844471426778006,0.9557110354963635,4.539302799311225
3534,2020-08-04,Wales,53.0,0.0,227.8147946838847,1.6737951798195723,0.0,7.258412813863265
2546,2020-08-05,Yorkshire and The Humber,212.0,90.50719661080389,493.2699487474848,3.8635140631783047,1.6517072205037011,9.001908870376566
572,2020-08-05,South East,228.0,127.12235629682297,406.74436285126706,2.4911036265107174,1.391806170023654,4.453263220805179
3204,2020-08-05,West Midlands,198.0,77.03336154044503,506.28030210796595,3.354325612049591,1.3054826955328787,8.579921222107028
3533,2020-08-05,Wales,66.0,0.0,223.09514359730352,2.0895453159989215,0.0,7.108039893740409
4520,2020-08-05,UK,1507.0,1114.9657839242577,2034.890597108118,,,
4191,2020-08-05,Northern Ireland,0.0,4.1394294429853176e-14,588.7968101751853,0.0,2.1999062747877343e-15,31.29169889522833
1888,2020-08-05,North West,273.0,132.24875845991838,561.2593649566589,3.7409661170026687,1.8135912207910456,7.696821268690059
3862,2020-08-05,North East,0.0,1.5572073799888375e-14,179.2092915140439,0.0,5.858768603397775e-16,6.742491617058519
1230,2020-08-05,East of England,76.0,25.771274636136855,222.21225742943832,1.2216381174248194,0.4155843458415861,3.5833670218353753
2875,2020-08-05,East Midlands,182.0,78.01300791779296,425.0816271450032,3.798263267543515,1.6238673679311977,8.848219052843765
2217,2020-08-05,Scotland,155.0,0.0,470.99181228320873,2.8585896786278115,0.0,8.66096269438239
1559,2020-08-05,South West,48.0,13.098608491553684,173.70826137776075,0.8528098090223019,0.2339147922455917,3.102080033747325
901,2020-08-05,London,158.0,67.48140524127477,369.02468460733985,1.772870166160632,0.7575302160058353,4.142583398235151
