,date,region,pop_mid,pop_low,pop_up,mil_mid,mil_low,mil_up
1065,2020-08-16,South West,93.0,31.65060318699385,272.41723722061727,16.607881621027563,5.65082582379862,48.63674634696111
1231,2020-08-16,North West,195.0,75.88708152833763,498.8867165876963,27.88762129891256,10.853286714179113,71.35022804902292
1729,2020-08-16,Northern Ireland,0.0,0.0,752.3305857645003,0.0,0.0,399.82727067439623
69,2020-08-16,England,915.0,610.0494916947937,1372.2057515890049,16.36999734069541,10.912544796741072,24.54597034899646
1563,2020-08-16,Wales,67.0,22.741075346440887,367.8816920905872,21.254212525579028,7.245539646565935,117.21087700038238
898,2020-08-17,North East and Yorkshire,104.0,28.487819048962525,377.21866520591624,12.131765156778071,3.3279431536973862,44.066633256876635
234,2020-08-17,South East,53.0,14.549277732210973,193.01391464505934,6.000687335961125,1.6458712184046014,21.834489155609106
1230,2020-08-17,North West,147.0,50.07638009712155,430.5745564447023,21.046658151976523,7.1618686587561315,61.580298237978916
1728,2020-08-17,Northern Ireland,0.0,0.0,670.2886191018932,0.0,0.0,356.2259387171999
732,2020-08-17,Midlands,266.0,113.79194545538049,620.7748384260713,25.262785669324252,10.798577699641495,58.91001599366153
1562,2020-08-17,Wales,57.0,12.526135496119233,321.9481781717302,18.266126643071445,3.990955131749872,102.57598875807007
1894,2020-08-17,UK,926.0,599.9238694440957,1429.9334061732188,,,
1064,2020-08-17,South West,92.0,31.46649601492887,270.829202910126,16.51125416598603,5.617955753168218,48.35322235729857
400,2020-08-17,London,127.0,43.11479561875973,371.57719779319075,14.261077142572546,4.851663810541684,41.81320165115913
1396,2020-08-17,Scotland,78.0,15.977531183374493,468.66768618970303,14.363942824154668,2.9380723383855565,86.18224861435117
68,2020-08-17,England,791.0,512.4619662314035,1221.4657929622203,14.155588174110457,9.166902422277563,21.8495390371634
566,2020-08-17,East of England,71.0,19.419024622213545,257.1616485786842,10.914392499689983,2.9939760738481622,39.64853219636971
731,2020-08-18,Midlands,216.0,83.88409834080227,552.1702757874955,20.457788013985827,7.9603960550328265,52.39961055821642
1561,2020-08-18,Wales,77.0,20.98576136603934,227.43319596278835,24.64729339178361,6.686278624674051,72.46254687562455
233,2020-08-18,South East,53.0,14.646738920183244,194.29881474465355,6.0408665911606345,1.6568964092867542,21.979842081807316
1893,2020-08-18,UK,1030.0,680.710821358588,1558.94161614032,,,
897,2020-08-18,North East and Yorkshire,104.0,28.467026567379314,376.91170288215756,12.122839053292338,3.325514178821693,44.03077395988938
399,2020-08-18,London,213.0,91.16447625138709,497.80421988422154,24.003149544462314,10.258645179414746,56.01739921727337
1229,2020-08-18,North West,196.0,76.25877016305434,501.1786886812835,28.023093882236687,10.906445212829187,71.67802337032948
1727,2020-08-18,Northern Ireland,0.0,0.0,688.8306680225652,0.0,0.0,366.08013971998093
1395,2020-08-18,Scotland,82.0,19.262861695463272,280.011867867155,15.120229116431258,3.5422043904053386,51.49075373147882
565,2020-08-18,East of England,103.0,35.130256771298086,302.39768889587793,15.918758477073675,5.416294087247501,46.62291041670437
1063,2020-08-18,South West,62.0,16.89061509931374,223.6411892970728,10.993134709587029,3.0156115325557673,39.92838304782289
67,2020-08-18,England,871.0,575.6302188381845,1318.2894637458435,15.58603013954453,10.296854001104913,23.58151760479707
