date,region,active_cases
2021-12-10,Wales,67855.75274477339
2021-12-10,West Midlands,102680.50097009799
2021-12-10,Yorkshire and The Humber,82363.2148677426
2021-12-11,East Midlands,82996.23177052091
2021-12-11,East of England,114647.52901243123
2021-12-11,London,158957.95086852543
2021-12-11,North East,41146.4524919091
2021-12-11,North West,107922.41534838345
2021-12-11,Northern Ireland,36549.44521415875
2021-12-11,Scotland,66495.05011112646
2021-12-11,South East,178312.73760510687
2021-12-11,South West,93283.64464636028
2021-12-11,Wales,67859.7512639681
2021-12-11,West Midlands,102281.75848815919
2021-12-11,Yorkshire and The Humber,81843.47658255933
2021-12-12,East Midlands,83885.5617514858
2021-12-12,East of England,116163.35656600689
2021-12-12,London,163856.91334015716
2021-12-12,North East,41102.0805686711
2021-12-12,North West,108599.89344862179
2021-12-12,Northern Ireland,36624.677212569615
2021-12-12,Scotland,67108.94757830432
2021-12-12,South East,180198.14150119922
2021-12-12,South West,93808.00482250226
2021-12-12,Wales,67662.392210144
2021-12-12,West Midlands,101954.70976803072
2021-12-12,Yorkshire and The Humber,81454.54808875622
2021-12-13,East Midlands,85053.73611184394
2021-12-13,East of England,117765.04149400584
2021-12-13,London,170113.07318457737
2021-12-13,North East,41279.11025016685
2021-12-13,North West,109278.06951146225
2021-12-13,Northern Ireland,36717.63988849565
2021-12-13,Scotland,67819.33469842593
2021-12-13,South East,182340.7468962682
2021-12-13,South West,94194.90587582269
2021-12-13,Wales,67730.34015017249
2021-12-13,West Midlands,101454.88716029937
2021-12-13,Yorkshire and The Humber,81206.81104786265
2021-12-14,East Midlands,86628.9256222961
2021-12-14,East of England,119631.94201787404
2021-12-14,London,179002.35091019934
2021-12-14,North East,41695.97638420489
2021-12-14,North West,110787.24724261803
2021-12-14,Northern Ireland,37191.67886909554
2021-12-14,Scotland,68409.96323143633
2021-12-14,South East,184850.86887937709
2021-12-14,South West,94631.8936762061
2021-12-14,Wales,67202.9946411674
2021-12-14,West Midlands,100615.7473386627
2021-12-14,Yorkshire and The Humber,80991.2939018845
